Table: Table_1

Summa för landsbygden ;624 ;30,622 ;17 ;652,484 ;4,045 ;333,095 ;8,568 ;2,006,001 ;14,640 ;285,667 ;6,823.352 ;218,160 ;221,848 ;3,268 ;151,820 ;141 ;4,459,145 ;1,177,028 ;10,046 ;1,659,40 ;205,460 ;1,419,883 ;20,627 ;4,901 ;27,242 ;1,870 ;79,105 ;34,214 ;72,989 ;59 ;22,122 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;- ;12 ;- ;350 ;- ;1,600 ;- ;3,600 ;- ;20 ;11,700 ;- ;150 ;- ;- ;- ;2,800 ;3,000 ;- ;- ;600 ;10,000 ;40 ;1 ;X 36 ;3 ;126 ;24 ;32 ;- ;40 ;- ;
Lidköping ;- ;;- ;660 ;- - ;;- ;8,760 ;120 ;480 ;15,375 ;;;- ;;;3,960 ;15,000 ;- - ;;2,000 ;23,150 ;110 ;2 ;4 ;4 ;335 ;20 ;5 ;- ;50 ;- ;
Skara. ;X 4 ;150 ;- ;3,500 ;3 ;2,080 ;- ;6,545 ;- ;1,000 ;13,800 ;1,200 ;1,120 ;- ;;;28,000 ;5,040 ;X 4 ;- ;1,200 ;14,100 ;90 ;6 ;36 ;4 ;230 ;36 ;48 ;- ;50 ;- ;
Sköfde ;- ;;;1,500 ;- ;300 ;- ;4,000 ;;;9,400 ;;110 ;- ;- ;;14,500 ;;;- ;;;65 ;3 ;44 ;3 ;250 ;25 ;30 ;- ;45 ;;
Falköping ;- ;40 ;- ;251 ;- - ;10 ;- ;630 ;;790 ;4,400 ;;18 ;- ;;- ;2,510 ;4.400 ;- ;- ;;;66 ;9 ;22 ;5 ;247 ;30 ;37 ;;60 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;- ;;- ;
Hjo ;- ;30 ;- ;5,500 ;- ;50 ;50 ;3,000 ;200 ;- ;10,000 ;100 ;100 ;- ;- ;- ;40,000 ;12,000 ;- ;- ;1,500 ;5,500 ;46 ;- ;34 ;2 ;165 ;25 ;30 ;- ;154 ;- ;
Summa für staderna ;X 4 ;232 ;- ;11,761 ;3 ;4,040 ;50 ;26,535 ;320 ;2,290 ;64,675 ;1,300 ;1,498 ;- ;- ;- ;91,770 ;39,440 ;4 ;- ;5,300 ;52.750 ;417 ;21 ;176 ;21 ;1,353 ;160 ;182 ;- ;399 ;-- ;
Summa für hela länet ;628 ;30,854 ;X 17 ;664,245 ;4,048 ;337,135 ;8,618 ;2,032,536 ;14,960 ;287,957 ;6,888,027 ;219,460 ;223,346 ;3,268 Il ;151,820 ;141 ;4,550,915 ;1,216,468 ;10,050 ;1,659,4 ;210,760 ;1,472,633 ;21,044 ;4,922 ;27,418 ;1,891 ;80,458 ;34,374 ;73,171 ;59 ;22,521 ;;





