Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1967 ;17.6 ;9.6 ;15.4 ;16.3 ;7.8 ;15.0 ;21.5 ;10.2 ;16.8 ;27.4 ;9.3 ;16.0 ;
1968 ;17.6 ;9.9 ;15.4 ;16.2 ;7.6 ;16.0 ;20.6 ;10.0 ;16.1 ;26.7 ;9.6 ;15.0 ;
1969 ;17.6 ;10.1 ;15.4 ;16.3 ;8.1 ;16.6 ;20.9 ;11.1 ;17.4 ;23.3 ;10.1 ;14.0 ;
1970 ;16.6 ;10.0 ;15.2 ;16.6 ;8.1 ;17.? ;20.0 ;10.3 ;18.0 ;21.1 ;9.5 ;14.4 ;
1971 ;16.8 ;10.0 ;15.2 ;17.2 ;8.7 ;17.8 ;20.2 ;11.0 ;18.6 ;19.5 ;9.5 ;14.6 ;
1972 ;16.3 ;10.0 ;14.6 ;17.4 ;8.0 ;18.6 ;19.5 ;10.1 ;17.2 ;18.8 ;9.2 ;15.2 ;
1973 ;15.5 ;10.1 ;14.2 ;17.9 ;8.3 ;18.8 ;19.2 ;10.6 ;19.8 ;18.2 ;9.8 ;16.4 ;
1974 ;15.0 ;9.9 ;13.8 ;18.4 ;8.2 ;19.0 ;18.9 ;10.7 ;18.0 ;20.3 ;9.1 ;16.6 ;
1975 ;14.1 ;9.9 ;13.0 ;18.9 ;8.7 ;19.4 ;19.1 ;10.4 ;21.8 ;19.7 ;9.3 ;17.8 ;
1976 ;13.3 ;10.0 ;12.6 ;19.5 ;8.8 ;19.0 ;19.3 ;10.6 ;21.0 ;19.5 ;9.6 ;18.2 ;
1977 ;12.6 ;9.8 ;11.8 ;19.1 ;9.0 ;18.8 ;18.6 ;9.9 ;18.8 ;19.6 ;9.6 ;18.4 ;
1978 ;12.7 ;10.0 ;11.6 ;19.0 ;9.3 ;18.7 ;17.1 ;9.8 ;16.6 ;19.1 ;9.7 ;18.4 ;
1979 ;12.7 ;10.2 ;11.4 ;19.5 ;9.2 ;18.1 ;16.3 ;9.4 ;16.2 ;18.6 ;9.9 ;18.0 ;
1980 ;12.5 ;10.1 ;10.8 ;19.5 ;9.9 ;17.2 ;15.8 ;9.6 ;14.6 ;18.0 ;10.4 ;16.4 ;
1981 ;12.4 ;10.2 ;10.8 ;18.9 ;9.2 ;18.0 ;15.1 ;9.7 ;15.2 ;17.0 ;10.0 ;16.4 ;
1982 ;12.5 ;10.1 ;10.6 ;19.4 ;9.2 ;17.4 ;15.2 ;9.3 ;14.8 ;15.3 ;10.0 ;15.6 ;
1983 ;12.1 ;10.2 ;10.0 ;19.7 ;9.5 ;16.7 ;14.4 ;9.6 ;15.0 ;14.3 ;10.4 ;14.6 ;
1984 ;12.1 ;10.3 ;10.0 ;18.9 ;9.9 ;15.5 ;14.2 ;9.6 ;13.8 ;15.5 ;10.3 ;14.6 ;
1985 ;12.3 ;10.7 ;9.8 ;18.2 ;10.3 ;14.3 ;12.8 ;9.6 ;13.4 ;15.8 ;10.9 ;14.2 ;
1986 ;12.6 ;10.5 ;9.8 ;17.0 ;10.1 ;13.8 ;12.4 ;9.4 ;13.6 ;16.5 ;10.6 ;;
1987 ;12.9 ;10.7 ;10.0 ;16.1 ;10.1 ;13.4 ;12.0 ;9.3 ;13.2 ;16.7 ;11.1 ;14.6 ;
1988 ;13.7 ;10.8 ;10.4 ;15.5 ;9.8 ;13.0 ;11.9 ;9.6 ;14.4 ;16.5 ;11.0 ;15.0 ;
1989 ;14.0 ;10.7 ;9.8 ;14.8 ;10.0 ;13.4 ;12.0 ;9.7 ;14.8 ;16.0 ;10.7 ;15.4 ;
1990 ;14.4 ;10.8 ;10.4 ;14.3 ;10.2 ;13.4 ;11.8 ;10.4 ;14.6 ;13.6 ;10.6 ;16.6 ;
1991 ;14.3 ;10.5 ;9.4 ;14.3 ;10.6 ;12.2 ;11.8 ;10.6 ;14.6 ;11.9 ;10.9 ;15.8 ;
1992 ;14.0 ;10.4 ;9.0 ;13.4 ;10.2 ;11.4 ;11.7 ;10.3 ;14.2 ;11.4 ;11.6 ;15.4 ;
1993 ;13.8 ;10.8 ;9.0 ;12.8 ;10.2 ;10.8 ;11.5 ;10.8 ;13.8 ;11.0 ;11.6 ;14.1 ;





