Table: Table_1

;;Austria² ;;;Belgium ;;;Denmark4 ;;;Finland ;;
1833 ;40.4 ;31.8 ;17.3 ;33.2 ;26.8 ;12.9 ;32.2 ;23.3 ;17.2 ;30.2 ;46.4 ;13.6 ;
1834 ;39.3 ;30.9 ;16.7 ;33.3 ;27.8 ;14.5 ;33.0 ;23.5 ;17.1 ;36.6 ;23.9 ;15.2 ;
1835 ;38.5 ;30.2 ;16.2 ;34.0 ;24.0 ;16.1 ;31.7 ;22.9 ;16.2 ;34.3 ;24.7 ;14.0 ;
1836 ;37.8 ;33.1 ;17.4 ;34.0 ;23.9 ;13.9 ;30.5 ;22.3 ;15.1 ;31.1 ;31.9 ;13.0 ;
1837 ;39.7 ;33.2 ;17.5 ;33.4 ;27.6 ;15.1 ;30.0 ;21.7 ;15.2 ;31.6 ;28.4 ;14.6 ;
1838 ;37.9 ;28.3 ;15.7 ;35.23 ;25.53 ;14.63 ;29.8 ;20.0 ;13.1 ;31.8 ;22.5 ;14.2 ;
1839 ;38.0 ;30.0 ;15.8 ;33.7 ;26.1 ;14.7 ;29.0 ;20.5 ;13.7 ;33.7 ;20.6 ;15.4 ;
1840 ;38.6 ;30.4 ;15.9 ;34.2 ;25.0 ;15.1 ;30.4 ;21.0 ;14.6 ;34.7 ;22.1 ;15.6 ;
1841 ;38.3 ;29.5 ;16.9 ;34.0 ;23.8 ;14.7 ;29.7 ;19.8 ;15.2 ;34.0 ;22.4 ;16.0 ;
1842 ;41.2 ;30.8 ;16.3 ;32.6 ;24.9 ;14.0 ;30.1 ;20.2 ;15.4 ;37.2 ;21.9 ;16.6 ;
1843 ;39.3 ;31.4 ;17.0 ;31.9 ;23.3 ;13.5 ;29.8 ;19.3 ;15.6 ;35.8 ;22.2 ;16.2 ;
1844 ;39.7 ;28.9 ;16.4 ;31.8 ;22.5 ;13.9 ;30.3 ;19.3 ;16.3 ;35.0 ;21.8 ;16.2 ;
1845 ;39.5 ;29.7 ;15.2 ;32.2 ;23.0 ;12.2 ;30.6 ;19.4 ;16.4 ;35.7 ;22.9 ;15.2 ;
1846 ;37.0 ;28.9 ;16.0 ;27.8 ;25.1 ;11.9 ;30.1 ;21.5 ;16.1 ;33.2 ;25.1 ;14.8 ;
1847 ;36.0 ;44.4 ;14.6 ;27.2 ;27.7 ;11.1 ;30.6 ;21.7 ;15.9 ;33.9 ;23.3 ;16.2 ;
1848 ;32.7 ;41.3 ;17.8 ;27.7 ;24.0 ;13.3 ;30.6 ;21.1 ;15.0 ;36.5 ;23.8 ;18.6 ;
1849 ;40.0 ;35.0 ;18.5 ;31.0 ;27.7 ;14.5 ;31.0 ;22.4 ;16.1 ;37.5 ;24.5 ;17.2 ;





